5a,4a,3a,2a,1a,5b,4b,3b,2b,1b
11,57,16,10,6,31,9,38,8,14
11,63,12,10,4,57,28,5,1,9
7,64,14,12,3,53,37,2,1,7
30,12,38,6,14,8,61,16,12,3
30,12,40,5,13,24,60,7,3,6
33,7,38,7,15,13,66,9,2,10
34,10,36,6,14,20,50,12,2,16
32,9,38,5,16,30,40,15,5,10
24,57,8,3,10,32,10,39,4,15
18,60,7,3,12,20,50,12,2,16
11,69,8,2,10,30,10,40,5,15
10,70,8,2,10,57,28,5,1,9
10,71,7,2,10,53,37,2,1,7
3,7,65,14,11,30,10,40,5,15
9,4,57,24,6,30,10,40,5,15
9,4,57,24,6,30,40,15,5,10
56,29,5,1,9,10,60,15,10,5
56,28,4,2,10,20,60,7,3,10
58,27,5,1,9,10,70,8,2,10
53,37,2,1,7,10,60,15,10,5
53,37,2,1,7,20,60,7,3,10
53,37,2,1,7,10,70,8,2,10
20,50,12,2,16,30,10,40,5,15
31,8,40,4,17,20,60,7,3,10
29,10,41,7,13,10,70,8,2,10
46,12,9,19,14,33,10,40,4,13
20,60,7,3,10,30,10,40,5,15
50,12,28,3,7,10,60,15,10,5
52,10,30,2,8,21,58,8,3,10
52,10,28,3,7,19,69,8,3,11
9,4,57,24,6,10,60,15,10,5
10,3,60,22,5,27,13,39,4,17
8,3,60,20,9,3,17,21,38,21
3,7,65,14,11,3,17,20,40,20
53,37,2,1,7,10,70,8,2,10
1,54,3,3,39,32,2,1,64,1
1,56,1,1,41,30,4,4,60,2
1,57,1,3,38,31,3,2,63,1
1,57,2,1,39,30,5,2,61,2
1,58,2,3,36,31,4,1,62,2
1,59,1,2,37,29,7,1,61,2
1,60,2,2,35,32,2,2,62,2
1,61,1,1,36,29,6,2,62,1
31,9,38,8,14,3,7,65,14,11
30,12,38,6,14,9,4,57,24,6
9,4,57,24,6,30,12,40,5,13
9,4,57,24,6,33,7,38,7,15
34,10,36,6,14,3,7,65,14,11
3,7,65,14,11,30,12,40,5,13
9,4,57,24,6,29,11,38,7,15
9,4,57,24,6,28,12,37,9,14
29,10,41,7,13,9,4,57,24,6