name,excellent,very_good,average,poor,terrible
numa l Belfort Rooms & Apartments,7,1,0,0,0
Adina Apartment Hotel Berlin Hackescher Markt,3332,1144,165,50,36
Hotel Zoo Berlin,613,202,81,46,46
NH Collection Berlin Mitte Friedrichstrasse,1528,648,119,29,13
Hampton by Hilton Berlin City Centre Alexanderplatz,715,511,150,49,25
Pullman Berlin Schweizerhof,2729,1217,223,49,33
numa l Drift Rooms & Apartments,16,3,2,2,2
AMERON Berlin ABION Spreebogen Waterside,513,601,193,35,21
nhow Berlin,2584,1070,346,109,93
NH Collection Berlin Mitte am Checkpoint Charlie,1427,1272,375,125,80
Hotel ZOE by AMANO,705,461,113,23,23
Vienna House Easy Berlin,155,86,19,6,8
Monbijou Hotel,276,278,67,16,9
Park Inn by Radisson Berlin Alexanderplatz,2712,4553,2446,880,534
Dorint Kurfurstendamm Berlin,2444,841,182,66,47
Radisson Blu Hotel Berlin,3709,2092,563,183,123
Scandic Berlin Potsdamer Platz,2475,1556,377,126,79
Estrel Berlin,369,695,383,92,55
Pestana Berlin Tiergarten,852,578,125,40,29
B&B Hotel Berlin-Potsdamer Platz,141,133,30,4,5
a&o Berlin Kolumbus,73,117,115,48,69
Maritim proArte Hotel Berlin,397,610,296,84,39
MEININGER Hotel Berlin Tiergarten,66,84,23,6,13
Hotel Romy By Amano,9,0,0,1,0
ARCOTEL John F Berlin,804,730,141,34,25
Seminaris CampusHotel Berlin,264,319,94,27,11
B&B Hotel Berlin-Tiergarten,128,75,26,8,4
ONE80 Hostels Berlin,639,666,260,105,83
City Hotel Berlin East,354,973,846,341,209
B&B Hotel Berlin Alexanderplatz,105,78,23,5,8
centrovital Hotel Berlin,225,238,80,19,14
Meininger Hotel Berlin Hauptbahnhof,402,801,457,171,180
Berlin Marriott Hotel,1579,744,171,47,40
Miniloft,169,45,4,0,2
Hotel Adlon Kempinski Berlin,3459,713,258,98,77
SO/ Berlin Das Stue,1563,263,79,25,20
Adina Apartment Hotel Berlin Checkpoint Charlie,2618,1105,136,19,27
The Mandala Suites,865,305,53,12,16
Hotel am Steinplatz Autograph Collection,1065,138,39,15,8
Flower's Boardinghouse Mitte,156,50,7,2,1
Grand Hyatt Berlin,2972,793,190,70,39
Hotel-Pension Bregenz,281,67,14,2,1
The Circus Hotel,2133,605,101,13,8
Hotel Rotdorn,340,156,16,4,4
Adina Apartment Hotel Berlin Mitte,2289,978,118,34,14
ArtHotel Connection,211,101,15,2,1
Myer's Hotel - Berlin,227,118,22,7,4
NH Collection Berlin Mitte Friedrichstrasse,1528,648,119,29,13
Hotel Brandies,195,117,16,1,4
Adina Apartment Hotel Berlin Hackescher Markt,3332,1144,165,50,36
The Circus Hostel,999,338,56,16,10
AMANO Home,235,88,14,9,3
Grand Hostel Berlin,731,249,41,17,13
Dorint Kurfurstendamm Berlin,2444,841,182,66,47
Hotel Kastanienhof,175,117,17,1,2
Mercure Hotel MOA Berlin,2047,1440,284,77,37
Cat's Pajamas,318,116,24,4,11
Hotel de Rome,1271,322,88,37,13
Waldorf Astoria Berlin,1570,367,149,66,55
The Ritz-Carlton Berlin,2367,588,225,75,54
Mercure Hotel & Residenz Berlin Checkpoint Charlie,2238,1332,168,29,22
Melia Berlin,4275,2145,360,103,57
Hotel Palace Berlin,1821,737,228,63,49
Schlosshotel Berlin by Patrick Hellmann,754,202,68,27,18
Hotel Bristol Berlin,773,790,353,141,88
Vilhelm 7,59,9,0,0,0
Hyperion Hotel Berlin,352,334,99,30,11
AMANO Home,235,88,14,9,3
Comfort Hotel Lichtenberg,57,189,144,47,26
HONIGMOND Boutique Hotel,127,76,10,9,2
Hotel Palace Berlin,1821,737,228,63,49
Hotel Berlin Central District,652,710,213,61,42
Hotel Indigo Berlin - East Side Gallery an IHG hotel,70,15,3,1,2
Living Hotel Weissensee by Derag,229,190,35,8,2
Mercure Hotel Chateau Berlin am Kurfuerstendamm,148,260,153,52,28
New Berlin,149,161,31,13,4
Hotel Bleibtreu Berlin by Golden Tulip,204,206,54,19,8
Myer's Hotel - Berlin,227,118,22,7,4
ALLEGRA Hotel Berlin Mitte,55,126,47,13,7
Novotel Suites Berlin City Potsdamer Platz Hotel,790,1309,388,92,38
Ibis Berlin City Potsdamer Platz,376,702,184,41,16
Generator Berlin Prenzlauer Berg,389,635,421,215,290
Novum Hotel Gates Berlin Charlottenburg,176,408,162,45,45
Hotel Pension Margrit,20,52,24,2,3
Motel One Berlin-Hauptbahnhof,409,455,105,20,13
Hotel Kurfurst,49,83,29,6,6
Abba Berlin Hotel,523,507,95,26,18
the niu Dwarf,2,4,3,1,0
MEININGER Hotel Berlin Airport,240,256,69,16,21
Select Hotel Berlin Spiegelturm,91,156,53,18,19
Pension Funk,67,51,11,3,8
Hotel Hansablick Garni,112,95,14,2,0
Hotel Bett-Und-Buch,13,1,0,1,0
ibis Berlin Spandau Hotel,161,293,106,13,11
Hotel The Yard,31,27,10,4,3
Novum Style Hotel Aldea,243,851,509,146,121
Mercure Hotel & Residenz Berlin Checkpoint Charlie,2238,1332,168,29,22
Orania.Berlin,87,11,5,4,2
City Hotel Berlin East,354,973,846,341,209
Holiday Inn Berlin - City East Side an IHG hotel,285,224,57,12,12
Hotel Oderberger,220,108,36,26,14
Air in Berlin Hotel,62,159,89,23,16
Hotel Boelsche 126,2,0,0,0,0
Safestay Berlin Hotel,85,92,37,11,1
ABION Villa Suites,94,25,7,3,3
DORMERO Hotel Berlin Ku'damm,190,151,54,20,22
Park Plaza Wallstreet Berlin Mitte,906,851,235,57,32
Hotel Prens Berlin,40,77,43,14,19
Zarenhof Prenzlauer Berg,67,122,49,9,4
Elba am Kurfurstendamm,53,97,25,12,8
Relexa Hotel Stuttgarter Hof,205,288,79,13,13
Hotel Berlin Mitte by Campanile,60,145,64,18,18
Quentin Boutique Hotel,71,93,49,27,23
Hotel Domicil Berlin by Golden Tulip,101,141,48,14,4
EastSeven Berlin Hostel,608,167,26,6,9
Novum Hotel City B,155,417,158,50,37
Amc Hotel - Schoneberg,49,49,11,0,1
the niu Hide,24,18,7,3,2
Motel One Berlin-Hackescher Markt,395,414,74,8,5
Mercure Berlin Tempelhof,262,415,165,36,11
Victor's Residenz-Hotel Berlin-Tegel,65,212,107,19,5
Moxy Berlin Ostbahnhof,306,186,61,21,22
Titanic Comfort Mitte,557,956,338,88,47
Art-Hotel Charlottenburger Hof,52,91,39,14,10
Hotel AMO By AMANO,24,17,5,7,6
InterContinental Berlin,1983,829,183,53,62
Berlin Marriott Hotel,1579,744,171,47,40
Nu Wave Hotel Berlin,36,70,10,1,5
Henri Hotel,160,192,34,16,7
ibis Berlin Messe,116,296,183,42,18
Hotel Neuer Fritz Berlin,22,11,10,3,9
Garden Boutique Hotel,78,44,11,6,1
MEININGER Hotel Berlin East Side Gallery,57,79,53,20,13
about:berlin Hotel,32,11,6,3,0
KPM Hotel & Residences,128,15,1,1,0
Capri by Fraser Berlin,278,132,34,11,9
Hilton Berlin,3092,1990,547,214,101
Hotel Spree-idyll,39,11,5,0,0
Holiday Inn Berlin City Center East P-Berg an IHG hotel,13,7,1,0,4
Citadines Kurfuerstendamm Berlin,297,352,97,20,13
SensCity Hotel Berlin Spandau,7,38,28,9,8
Motel One Berlin Spittelmarkt,205,338,41,3,2
Hotel Alt - Tegel,15,13,9,2,1
Hotel Erlanger Hof,25,44,18,4,3
Mercure Hotel Berlin City West,174,299,112,35,9
Motel Home,1,0,0,0,0
Das Schmockwitz,27,29,18,6,9
Hotel Waldschanke,2,0,0,0,0
Select Hotel Berlin Checkpoint Charlie,376,662,237,51,33
Hotel Vier Jahreszeiten Berlin City,47,97,57,16,15
a&o Berlin Friedrichshain,61,135,128,60,79
Pension Sena,1,1,0,0,0
Hotel Atlas Berlin,26,47,14,8,6
Kaiser Hotel,12,46,23,8,4
Sheraton Berlin Grand Hotel Esplanade,1095,910,284,101,56
Meininger Hotel Berlin Hauptbahnhof,402,801,457,171,180
Holiday Inn Berlin Airport - Conf Centre an IHG hotel,160,273,113,39,23
art'otel berlin mitte,601,501,172,42,39
Hotel ibis Berlin City Nord,109,342,196,58,27
AZIMUT Hotel Kurfuerstendamm Berlin,192,468,268,111,77
STAYERY Berlin,2,0,0,0,0
Holiday Inn Berlin - City West an IHG hotel,149,327,249,102,56
H10 Berlin Ku'damm,1370,726,136,45,25
Hotel Aquino Berlin,36,58,13,3,1
Select Hotel Berlin Gendarmenmarkt,263,487,188,56,35
ABACUS Tierpark Hotel,136,264,104,19,10
Concorde Forsthaus,4,6,2,0,0
AZIMUT Hotel City South Berlin,76,141,70,42,29
Motel One Berlin-Bellevue,134,185,42,9,5
Holiday Inn Berlin City East-Landsberger an IHG hotel,69,172,187,66,41
Wilde Aparthotels by Staycity - Checkpoint Charlie,126,21,6,0,0
Goodman's Living,235,112,35,6,8
Hotel 103,84,111,44,15,21
Hotel Lindenufer,38,55,18,5,3
Best Western Plus Plaza Berlin Kurfurstendamm,142,317,149,35,18
Novalis Hotel,27,39,21,5,7
The Ritz-Carlton Berlin,2367,588,225,75,54
Apple City Hotel,32,78,50,11,10
Hotel Sachsenhof,80,135,44,3,4
Hotel Kastanienhof,175,117,17,1,2
Hotel NOVA,31,80,46,12,7
Kolo 77,26,47,32,4,11
Central-Hotel Tegel,7,22,37,15,13
Hotel Pension Spree,10,33,32,15,18
Titanic Gendarmenmarkt Berlin,846,422,132,65,41
Pfefferbett Hostel,178,132,35,6,6
Quentin Design hotel,102,219,122,69,76
Design Hostel P182,41,11,2,2,6
Hotel Carolinenhof,28,34,17,2,4
Hollywood Media Hotel,674,528,104,24,12
Hotel Landhaus Alpinia,80,99,16,7,4
GOLD INN Alfa Hotel,43,77,43,9,5
ADELANTE Boutique Hotel,299,112,11,1,4
Hotel Artim,54,97,76,31,21
Kiez Box,1,0,0,0,0
Ameron Boutique Hotel Villa Abion Berlin,4,2,0,0,1
Best Western Hotel Kantstrasse Berlin,111,201,65,16,19
bel etage BIO- Gastehaus Berlin,0,1,0,0,0
Corner Hostel,20,27,10,6,8
Hotel Ambassador-Berlin Grunau,12,7,4,2,3
Adele Designhotel Berlin,16,33,14,6,7
Enjoy Hostel Berlin City West,1,2,2,0,0
Hotel Columbia,8,21,25,17,7
Hotel-Pension Waizenegger,14,37,9,12,5
LANDMARK eco Hotel,19,15,20,1,13
Raja Jooseppi Resort,43,21,4,1,2
Hostel24 Berlin,1,0,0,0,0
Holiday Apartments Traumberg Flats,5,4,2,2,1
Gaestehaus Berlin Mitte,15,20,15,8,4
Hotel Aster,3,14,14,5,3
IBB Blue Hotel Berlin-Airport,13,19,5,2,1
Hotel-Pension Arche,11,47,24,11,9
Leonardo Royal Hotel Berlin Alexanderplatz,1153,1123,280,58,48
Motel Blue,1,0,2,0,0
H+ Hotel Berlin Mitte,206,387,112,33,24
Die Fabrik,26,67,16,13,18
AMC Apartments,220,182,45,13,7
Melia Berlin,4275,2145,360,103,57
Pension Hostel Staycomfort Am Kurfurstendamm,29,36,18,9,10
Living Hotel Grosser Kurfuerst,508,540,106,32,8
DameritzSeehotel,18,22,17,3,10
HappyGoLucky Hotel & Hostel,65,139,93,26,28
Casa Camper Berlin,974,176,32,8,12
SensCity Hotel Albergo,32,60,40,10,10
easyHotel Berlin Hackescher Markt,515,726,309,80,36
Klassik Hotel,65,129,101,69,78
Hotel Adam,25,81,42,18,13
Metropol Hostel Berlin,25,68,45,18,26
Pension Marie,6,17,16,3,7
Seminar- und Gastehaus Flussbad Gartenstrasse,2,3,2,2,0
Hotel Spreewitz,15,46,45,12,18
Hotel Ambert,2,0,3,0,2
Good Morning Berlin City West,5,12,9,7,6
Am Buschkrugpark,4,2,13,6,5
Hotel-Pension Rheingold,25,28,14,17,23
Pension Zum Lichtenberger,0,4,0,2,0
Pension Oase,4,1,3,3,1
Bearlin City Apartments,5,6,2,3,2
Hotel Buchholz,2,3,1,1,0
Novum Hotel Lichtburg am Kurfuerstendamm,32,142,104,45,27
The Pirate Hostel,3,2,1,1,1
Visage Appart,2,0,0,0,1
Hapimag Resort Berlin Gendarmenmarkt,47,16,0,2,0
Grand Hyatt Berlin,2972,793,190,70,39
Hotel BIG MAMA Berlin,105,111,29,3,7
Schulz Hotel Berlin Wall,214,142,42,12,10
Pullman Berlin Schweizerhof,2729,1217,223,49,33
Hotel ZOE by AMANO,705,461,113,23,23
Crowne Plaza Berlin - Potsdamer Platz an IHG hotel,675,524,114,30,25
Hampton by Hilton Berlin City East Side Gallery,178,108,13,8,7
Pestana Berlin Tiergarten,852,578,125,40,29
Mercure Hotel Berlin Wittenbergplatz,497,245,42,21,10
B&B Hotel Berlin-Tiergarten,128,75,26,8,4
Hampton by Hilton Berlin City West,1817,1247,223,42,19
Hotel Art Nouveau,152,72,14,3,8
Motel One Berlin-Alexanderplatz,170,102,23,10,5
Lindner Hotel Am Ku'damm,535,450,113,20,7
B&B Hotel Berlin-Potsdamer Platz,141,133,30,4,5
Scandic Berlin Kurfurstendamm,823,592,169,52,33
Novotel Berlin Am Tiergarten,1161,976,170,35,16
Hotel Ibis Berlin Hauptbahnhof,452,400,63,17,10
Living Hotel Weissensee by Derag,229,190,35,8,2
Vienna House Easy Berlin,155,86,19,6,8
Grimm's am Potsdamer Platz,206,107,19,6,4
ibis Berlin Kurfuerstendamm Hotel,628,646,103,15,7
Motel One Berlin-Potsdamer Platz,231,189,34,6,1
Max Brown Hotel Ku'damm,262,146,39,13,14
Holiday Inn Express Berlin - Alexanderplatz an IHG hotel,254,204,48,10,10
Select Hotel Berlin The Wall,668,514,72,18,18
Hotel Indigo Berlin - Ku'damm an IHG hotel,273,260,54,13,7
Park Plaza Wallstreet Berlin Mitte,906,851,235,57,32
Sir Savigny Hotel,534,313,109,42,28
Hotel Hansablick Garni,112,95,14,2,0
Motel One Berlin-Hackescher Markt,395,414,74,8,5
Scandic Berlin Potsdamer Platz,2475,1556,377,126,79
Hampton by Hilton Berlin City Centre Alexanderplatz,715,511,150,49,25
nhow Berlin,2584,1070,346,109,93
Vilhelm 7,59,9,0,0,0
NH Collection Berlin Mitte am Checkpoint Charlie,1427,1272,375,125,80
Victor's Residenz Hotel Berlin,231,247,71,16,13
ARCOTEL John F Berlin,804,730,141,34,25
Motel One Berlin Mitte,168,236,51,15,11
Hyperion Hotel Berlin,352,334,99,30,11
Hotel Tiergarten,132,162,41,9,5
Michelberger Hotel,677,318,96,44,47
B&B Hotel Berlin Alexanderplatz,105,78,23,5,8
Hotel AMANO Grand Central,1118,898,305,77,50
H4 Hotel Berlin Alexanderplatz,803,1066,321,76,47
HONIGMOND Boutique Hotel,127,76,10,9,2
Hotel Indigo Berlin - East Side Gallery an IHG hotel,70,15,3,1,2
NH Berlin City Ost,180,262,92,18,5
St. Christopher's Inn Berlin,447,369,114,29,28
Courtyard by Marriott Berlin City Center,575,730,198,27,13
Hotel Bleibtreu Berlin by Golden Tulip,204,206,54,19,8
Pentahotel Berlin-Koepenick,1073,1033,284,46,27
Hotel BIG MAMA Berlin,105,111,29,3,7
Heart of Gold Hostel,387,340,116,37,29
NH Berlin Kurfurstendamm,624,636,159,43,28
Sunflower Hostel,341,262,86,21,30
Motel One Berlin-Hauptbahnhof,409,455,105,20,13
Motel One Berlin-Ku'damm,175,232,42,14,7
Citylight Hotel,137,166,42,12,7
Hotel Steglitz International,143,184,44,11,3
Moxy Berlin Ostbahnhof,306,186,61,21,22
Ibis Budget Berlin Kurfurstendamm,449,522,118,24,15
Titanic Chaussee Berlin,700,413,137,52,61
IntercityHotel Berlin Hauptbahnhof,798,988,269,68,40
Seminaris CampusHotel Berlin,264,319,94,27,11
Provocateur Berlin,143,53,27,6,17
Mercure Hotel Berlin City,609,884,226,38,29
ONE80 Hostels Berlin,639,666,260,105,83
Ibis Berlin Mitte,529,1062,286,55,29
Hotel Berlin Central District,652,710,213,61,42
Orania.Berlin,87,11,5,4,2
ARCOTEL Velvet,343,362,106,37,13
Industriepalast,162,150,33,14,16
Hotel AMANO,996,894,251,89,59
ibis budget Berlin City Potsdamer Platz,524,970,342,74,35
Novotel Suites Berlin City Potsdamer Platz Hotel,790,1309,388,92,38
Ibis Berlin City Potsdamer Platz,376,702,184,41,16
Steigenberger Hotel Berlin,2668,2507,789,240,102
ABION Villa Suites,94,25,7,3,3
DORMERO Hotel Berlin Ku'damm,190,151,54,20,22
NH Berlin Alexanderplatz,136,111,44,15,19
Ibis Berlin City West,187,370,125,23,8
Relexa Hotel Stuttgarter Hof,205,288,79,13,13
Ibis Budget Berlin Alexanderplatz,523,955,371,75,37
MEININGER Hotel Berlin Airport,240,256,69,16,21
Hotel Domicil Berlin by Golden Tulip,101,141,48,14,4
aletto Hotel Kudamm,366,445,107,24,47
Mercure Berlin Tempelhof,262,415,165,36,11
MEININGER Hotel Berlin Mitte Humboldthaus,335,454,154,58,32
IntercityHotel Berlin Ostbahnhof,243,360,111,21,6
Moxy Berlin Humboldthain Park,92,52,24,8,4
Three Little Pigs Hostel,290,313,103,30,25
MEININGER Hotel Berlin Tiergarten,66,84,23,6,13
Park Inn by Radisson Berlin Alexanderplatz,2712,4553,2446,880,534
Hotel Villa Kastania,65,59,21,8,3
Mercure Hotel Chateau Berlin am Kurfuerstendamm,148,260,153,52,28
Hotel Transit Loft,77,167,61,20,12
MEININGER Hotel Berlin Alexanderplatz,125,223,110,34,39
Motel Plus Berlin,70,116,53,14,13
ALLEGRA Hotel Berlin Mitte,55,126,47,13,7
ibis Berlin Messe,116,296,183,42,18
Novum Hotel Gates Berlin Charlottenburg,176,408,162,45,45
about:berlin Hotel,32,11,6,3,0
Premier Inn Berlin City Centre hotel,20,10,4,1,0
Grand Hostel Berlin Urban,113,331,123,29,17
Zarenhof Prenzlauer Berg,67,122,49,9,4
Elba am Kurfurstendamm,53,97,25,12,8
Hotel Berlin Mitte by Campanile,60,145,64,18,18
